"Date","Time","Open","High","Low","Close","Up","Down"
10/08/2020,08:08,3441.28,3442.46,3441.28,3442.18,2589,986
10/08/2020,08:09,3442.12,3442.18,3441.26,3441.26,1115,2654
10/08/2020,08:10,3441.21,3441.43,3440.98,3441.13,2417,1911
10/08/2020,08:11,3441.15,3441.44,3440.78,3441.44,2245,1876
10/08/2020,08:12,3441.28,3441.47,3440.45,3440.89,1553,2147
10/08/2020,08:13,3440.90,3442.34,3440.80,3442.24,2370,1269
10/08/2020,08:14,3442.24,3442.55,3441.80,3441.80,1274,2374
10/08/2020,08:15,3441.81,3442.64,3441.47,3442.63,2597,1655
10/08/2020,08:16,3442.57,3443.55,3442.34,3443.51,2224,2051
10/08/2020,08:17,3443.50,3443.69,3443.30,3443.69,1451,1809
10/08/2020,08:18,3443.70,3443.90,3442.91,3442.91,1081,2184
10/08/2020,08:19,3442.96,3443.00,3442.38,3442.55,1269,3451
10/08/2020,08:20,3442.57,3442.62,3441.55,3441.55,1268,3133
10/08/2020,08:21,3441.51,3443.13,3437.78,3438.51,3729,7718
10/08/2020,08:22,3438.54,3438.85,3436.88,3437.61,4547,4569
10/08/2020,08:23,3437.57,3438.53,3437.27,3438.22,2790,2789
10/08/2020,08:24,3438.36,3438.83,3437.58,3438.27,2194,2490
10/08/2020,08:25,3438.31,3439.23,3438.31,3439.14,4156,2455
10/08/2020,08:26,3439.15,3439.15,3437.36,3437.36,2592,2715
10/08/2020,08:27,3437.37,3437.55,3436.56,3436.56,1775,3740
10/08/2020,08:28,3436.55,3437.45,3436.46,3437.28,3931,5040
10/08/2020,08:29,3437.20,3437.20,3435.73,3435.91,2833,3763
10/08/2020,08:30,3436.00,3437.00,3435.77,3436.09,2845,3634
10/08/2020,08:31,3436.05,3436.55,3435.44,3436.29,3439,2060
10/08/2020,08:32,3436.14,3436.14,3434.10,3434.12,1504,5351
10/08/2020,08:33,3434.12,3434.21,3432.39,3432.39,1372,4075
10/08/2020,08:34,3432.37,3432.37,3429.28,3429.84,2440,6040
10/08/2020,08:35,3429.84,3429.84,3428.15,3429.36,4313,3992
10/08/2020,08:36,3429.42,3430.61,3429.42,3430.59,4165,2303
10/08/2020,08:37,3430.63,3432.45,3430.63,3432.42,3701,1664
10/08/2020,08:38,3432.43,3433.45,3431.76,3433.45,4595,2544
10/08/2020,08:39,3433.47,3436.94,3433.47,3436.63,4828,2640
10/08/2020,08:40,3436.62,3436.89,3436.39,3436.84,2803,1969
10/08/2020,08:41,3436.81,3437.89,3436.63,3437.89,3553,1482
10/08/2020,08:42,3437.94,3438.01,3437.54,3437.55,2472,2579
10/08/2020,08:43,3437.53,3437.54,3436.58,3436.80,1395,3894
10/08/2020,08:44,3436.81,3437.68,3436.66,3437.45,2857,1704
10/08/2020,08:45,3437.47,3437.96,3437.07,3437.20,1947,3194
10/08/2020,08:46,3437.17,3437.66,3436.98,3437.10,1696,2137
10/08/2020,08:47,3437.10,3437.57,3436.95,3437.54,2422,1326
10/08/2020,08:48,3437.51,3437.51,3436.66,3436.66,1137,1895
10/08/2020,08:49,3436.65,3436.68,3436.11,3436.28,1418,2725
10/08/2020,08:50,3436.27,3436.27,3434.87,3436.08,1390,2553
10/08/2020,08:51,3436.05,3436.05,3434.65,3434.72,1309,2087
10/08/2020,08:52,3434.74,3435.34,3434.56,3434.56,1658,2008
10/08/2020,08:53,3434.59,3434.59,3433.74,3434.32,1571,2103
10/08/2020,08:54,3434.42,3434.99,3434.20,3434.20,1317,1551
10/08/2020,08:55,3434.24,3434.28,3432.88,3432.88,1471,2134
10/08/2020,08:56,3432.87,3433.80,3432.87,3433.48,1431,1385
10/08/2020,08:57,3433.45,3433.79,3433.05,3433.79,1748,1595
10/08/2020,08:58,3433.80,3434.96,3433.76,3434.96,2648,1026
10/08/2020,08:59,3435.12,3435.50,3434.58,3434.63,2041,3008
10/08/2020,09:00,3434.57,3434.62,3433.66,3433.66,1225,2902
10/08/2020,09:01,3433.64,3435.11,3433.48,3433.82,2807,1652
10/08/2020,09:02,3433.83,3434.56,3433.83,3434.46,2188,1846
10/08/2020,09:03,3434.71,3435.66,3434.71,3435.38,2313,1928
10/08/2020,09:04,3435.36,3435.91,3435.36,3435.66,1717,1535
10/08/2020,09:05,3436.00,3436.56,3436.00,3436.29,1878,1085
10/08/2020,09:06,3436.29,3437.20,3436.28,3437.01,2195,1858
10/08/2020,09:07,3437.03,3437.73,3436.64,3437.73,2096,1311
10/08/2020,09:08,3437.84,3440.75,3437.84,3440.71,4387,2018
10/08/2020,09:09,3440.69,3441.13,3440.49,3440.95,2234,1901
10/08/2020,09:10,3440.94,3440.94,3440.28,3440.34,1357,2596
