purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1999-10-12,2000-01-10,1335.20996,1464.35999,8604.0,152338154.39,4.966419999999999,0.04665,42731.08,4273107.77,-4275701.19
2000-01-10,2000-04-10,1464.35999,1527.18994,11711.0,156211992.86,3.8828699999999996,1.78508,45472.29,4547229.06,-2502194.16
2000-04-10,2000-07-10,1527.18994,1486.56006,3687.0,148639216.29,12.643130000000001,3.13267,46615.22,4661522.03,-3553121.82
2000-07-10,2000-10-10,1486.56006,1408.82996,6206.0,137041127.44,7.1479,0.6594899999999999,44359.87,4435986.74,-4071067.12
2000-10-10,2001-01-05,1408.82996,1334.77002,8804.0,169168719.69,4.6460099999999995,48.6215,40903.47,4090347.2,38675117.93
2001-01-05,2001-04-10,1334.77002,1173.92004,2399.0,151594763.95,20.99054,31.72216,50356.31,5035630.55,2524159.33
2001-04-10,2001-07-10,1173.92004,1203.43005,2338.0,150737849.92,19.338929999999998,0.31617,45214.42,4521441.83,-4492735.71
2001-07-10,2001-09-21,1203.43005,984.5399800000001,12716.0,173018228.89,3.53839,41.5794,44994.17,4499416.72,48327954.15
2001-09-21,2001-12-10,984.5399800000001,1158.31006,8722.0,196731785.71,5.90267,0.004370000000000001,51483.09,5148308.77,-5195980.35
2001-12-10,2002-03-11,1158.31006,1173.0300300000001,12127.0,194500225.27,4.84224,1.02516,58721.84,5872184.45,-4687694.76
2002-03-11,2002-06-10,1173.0300300000001,1038.18005,9697.0,180648959.44,5.98683,13.97543,58054.29,5805429.05,7688491.13
2002-06-10,2002-09-10,1038.18005,909.8900199999999,8147.0,188336519.71,6.61331,42.39614,53878.64,5387863.66,29098392.96
2002-09-10,2002-10-10,909.8900199999999,806.51001,3962.0,168534815.48,14.16146,17.378220000000002,56107.7,5610770.45,1218372.61
2002-10-10,2003-01-10,806.51001,932.8900199999999,2948.0,189034170.48,17.054479999999998,0.07932,50276.61,5027660.7,-5054553.78
2003-01-10,2003-04-10,932.8900199999999,871.7800300000001,6895.0,177033625.91,8.183069999999999,8.17338,56422.27,5642226.76,-63103.53
2003-04-10,2003-07-10,871.7800300000001,1002.2100199999999,5349.0,197350775.84,9.874460000000001,0.0051600000000000005,52818.49,5281848.65,-5331907.06
2003-07-10,2003-10-10,1002.2100199999999,1040.83997,17231.0,198856379.24,3.41865,0.03463,58906.76,5890675.82,-5889911.62
2003-10-10,2004-02-10,1040.83997,1147.02002,7985.0,212617786.66,7.43302,0.07941000000000001,59352.66,5935266.47,-5931210.24
2004-02-10,2004-06-10,1147.02002,1136.4699699999999,18628.0,208931347.99,3.40697,2.44509,63465.04,6346503.72,-1855255.1
2004-06-10,2004-10-12,1136.4699699999999,1124.39001,12178.0,201790236.06,5.11983,1.07897,62349.29,6234928.97,-4983308.6
2004-10-12,2005-02-10,1124.39001,1198.75,21863.0,208894760.2,2.75489,0.10754000000000001,60230.16,6023016.01,-5848131.46
2005-02-10,2005-06-10,1198.75,1202.79004,29999.0,209420218.56,2.0785299999999998,2.02047,62353.82,6235382.15,-236528.01
2005-06-10,2005-10-11,1202.79004,1193.0999800000002,11998.0,202322556.45,5.2085,0.72595,62491.58,6249158.3,-5440655.07
2005-10-11,2006-02-10,1193.0999800000002,1269.89001,30634.0,209232514.56,1.97134,0.11896,60390.03,6039002.96,-5734970.92
2006-02-10,2006-06-12,1269.89001,1255.2199699999999,31478.0,207661050.45,1.9840200000000001,2.2213700000000003,62452.98,6245298.16,684677.35
2006-06-12,2006-10-10,1255.2199699999999,1354.22998,14348.0,217260811.46,4.31865,0.01222,61963.99,6196399.02,-6240829.75
2006-10-10,2007-02-12,1354.22998,1439.10999,76512.0,224023599.02,0.8476,0.0108,64851.57,6485157.12,-6467375.73
2007-02-12,2007-03-05,1439.10999,1391.85999,120939.0,288442162.72,0.55293,6.40883,66870.8,6687080.13,70753798.21
2007-03-05,2007-07-10,1391.85999,1531.8499800000002,22275.0,307235824.94,3.8547800000000003,0.1096,85865.22,8586522.45,-8428253.67
2007-07-10,2007-11-13,1531.8499800000002,1481.37,19266.0,314662198.36,4.75992,13.60641,91704.62,9170461.87,16951943.01
2007-11-13,2008-02-11,1481.37,1341.4000199999998,18965.0,302676230.72,4.94837,13.85534,93845.84,9384583.7,16798222.76
2008-02-11,2008-05-12,1341.4000199999998,1404.06006,8892.0,307858435.37,10.150839999999999,0.93834,90261.27,9026126.93,-8282016.27
2008-05-12,2008-08-11,1404.06006,1313.1500199999998,8156.0,287447968.22,11.26643,9.92597,91889.0,9188900.31,-1185168.18
2008-08-11,2008-10-08,1313.1500199999998,1021.06,7390.0,315516991.15,11.60615,132.32228,85769.45,8576944.85,89123450.62
2008-10-08,2008-11-10,1021.06,951.9500099999999,4191.0,309700052.83,22.400760000000002,60.017509999999994,93881.59,9388158.52,15671298.34
2008-11-10,2008-12-10,951.9500099999999,908.2700199999999,1503.0,294502747.49,61.42808,53.59626,92326.4,9232640.42,-1269448.95
2008-12-10,2009-01-12,908.2700199999999,890.4000199999999,1535.0,283756180.47,57.24015,24.40928,87863.63,8786363.02,-5127402.18
2009-01-12,2009-02-10,890.4000199999999,868.0499900000001,2685.0,270491684.89,31.530959999999997,8.109960000000001,84660.63,8466062.76,-6373199.13
2009-02-10,2009-03-10,868.0499900000001,719.59998,7719.0,251304288.69,10.45832,43.38194,80727.77,8072777.21,25333014.51
2009-03-10,2009-04-13,719.59998,864.31,5277.0,292924063.85,14.19602,1.1673799999999999,74912.4,7491239.75,-6950125.73
2009-04-13,2009-05-11,864.31,922.98999,4933.0,304502548.99,17.722929999999998,2.2137,87427.21,8742721.37,-7738130.37
2009-05-11,2009-08-10,922.98999,1010.11999,3268.0,323297052.08,27.809009999999997,0.24001999999999998,90879.84,9087984.47,-9100425.77
2009-08-10,2009-11-10,1010.11999,1096.42004,12808.0,340604996.69,7.53459,0.18435,96503.03,9650302.87,-9510690.42
2009-11-10,2010-02-10,1096.42004,1073.67004,15449.0,325136816.18,6.58085,1.04109,101667.55,10166755.16,-8660042.77
2010-02-10,2010-05-10,1073.67004,1163.8499800000002,26296.0,342565529.39,3.6906199999999996,0.27463000000000004,97048.54,9704854.35,-9079735.84
2010-05-10,2010-08-10,1163.8499800000002,1127.16003,12950.0,326318976.83,7.89583,3.46118,102251.0,10225099.85,-5845122.75
2010-08-10,2010-11-10,1127.16003,1218.75,12303.0,342194006.31,7.91573,0.00336,97387.23,9738722.62,-9831976.04
2010-11-10,2011-03-10,1218.75,1315.7199699999999,12736.0,359914329.84,8.019689999999999,1.24122,102138.77,10213877.18,-8735198.16
2011-03-10,2011-07-11,1315.7199699999999,1343.31006,9708.0,361345968.88,11.06591,5.037059999999999,107427.85,10742785.43,-5960235.43
2011-07-11,2011-11-10,1343.31006,1246.2199699999999,6964.0,369530645.95,15.48448,63.13399999999999,107833.92,10783391.87,33075291.81
2011-11-10,2012-02-10,1246.2199699999999,1351.20996,4082.0,388120465.31,26.988570000000003,0.0035399999999999997,110167.34,11016734.27,-11125456.59
