Date,Equity
1991-07-19,96500008.08
1991-07-22,96180381.41
1991-07-23,96258171.94
1991-07-24,95158921.76
1991-07-25,95326417.9
1991-07-26,95481740.34
1991-07-29,95827973.33
1991-07-30,96769429.8
1991-07-31,96991589.45
1991-08-01,97025894.28
1991-08-02,97427752.47
1991-08-05,96829927.89
1991-08-06,97738080.47
1991-08-07,97934911.36
1991-08-08,97985978.6
1991-08-09,97509455.31
1991-08-12,97078456.0
1991-08-13,98064503.51
1991-08-14,97996946.08
1991-08-15,98013619.81
1991-08-16,97637386.56
1991-08-19,96437581.23
1991-08-20,95129491.22
1991-08-21,97693446.22
1991-08-22,98039963.52
1991-08-23,98877589.55
1991-08-26,98639145.37
1991-08-27,98506594.4
1991-08-28,99198637.68
1991-08-29,99242221.96
1991-08-30,99154743.83
1991-09-03,99441628.66
1991-09-04,98193382.14
1991-09-05,97781510.9
1991-09-06,97716548.54
1991-09-09,97373775.78
1991-09-10,97197411.51
1991-09-11,96441222.79
1991-09-12,96875578.5
1991-09-13,97027491.55
1991-09-16,96488490.47
1991-09-17,96822539.24
1991-09-18,96774209.37
1991-09-19,97392948.18
1991-09-20,97242827.79
1991-09-23,97175430.9
1991-09-24,97070480.92
1991-09-25,97099602.47
1991-09-26,97134484.01
1991-09-27,97309154.61
1991-09-30,97109429.45
1991-10-01,97426184.53
1991-10-02,97541861.25
1991-10-03,97093056.78
1991-10-04,96334671.02
1991-10-07,95355971.96
1991-10-08,95345994.71
1991-10-09,95181874.16
1991-10-10,95177894.09
1991-10-10,93654398.11
1991-10-11,93877671.8
1991-10-15,96334019.79
1991-10-16,96772871.01
1991-10-17,96892037.0
1991-10-18,96643726.82
1991-10-21,96567268.86
1991-10-22,96250376.96
1991-10-23,95729318.25
1991-10-24,95542200.21
1991-10-25,95004021.06
1991-10-28,95838822.79
1991-10-29,96374203.7
1991-10-30,96720548.11
1991-10-31,96683647.67
1991-11-01,97209672.39
1991-11-04,96273272.85
1991-11-05,96488671.85
1991-11-06,95948070.96
1991-11-07,96870090.58
1991-11-08,97535513.21
1991-11-12,97707731.4
1991-11-13,97778943.85
1991-11-14,97975620.7
1991-11-15,97727261.04
1991-11-18,94842201.22
1991-11-19,94806088.51
1991-11-20,93891834.08
1991-11-21,93796535.24
1991-11-22,93536003.9
1991-11-25,92805112.29
1991-11-26,93104618.15
1991-11-27,93060534.45
1991-11-29,92677017.04
1991-12-02,93868100.62
1991-12-03,93887306.25
1991-12-04,93894663.99
1991-12-05,93540863.65
1991-12-06,94107723.81
1991-12-09,93869850.05
1991-12-10,93413445.22
1991-12-11,93374003.97
1991-12-12,93914391.62
1991-12-13,94753446.88
1991-12-16,94949137.94
1991-12-17,94755129.97
1991-12-18,94376822.86
1991-12-19,94364639.86
1991-12-20,95538434.87
1991-12-23,97802049.54
1991-12-24,98867512.3
1991-12-26,99636939.57
1991-12-27,100044283.62
1991-12-30,102149038.23
1991-12-31,102929776.19
1992-01-02,102671531.44
1992-01-03,103290123.73
1992-01-06,103204034.6
1992-01-07,102840144.03
1992-01-08,103397533.31
1992-01-09,103463657.47
1992-01-10,102755956.78
1992-01-13,102200465.95
1992-01-14,103449236.8
1992-01-15,103623748.94
1992-01-16,103542736.94
1992-01-17,103197526.91
1992-01-21,102445544.42
1992-01-22,102873188.12
1992-01-23,103279088.41
1992-01-24,102661781.62
1992-01-27,102555851.33
1992-01-28,102450010.39
1992-01-29,102799040.64
1992-01-30,101407286.12
1992-01-31,101520576.12
1992-02-03,100861236.32
1992-02-04,101820313.29
1992-02-05,102390703.03
1992-02-06,101992313.13
1992-02-07,102174477.79
1992-02-10,101800486.36
1992-02-10,98998616.3
1992-02-11,99142951.38
1992-02-12,100024972.5
1992-02-13,99951560.63
1992-02-14,99015117.99
1992-02-18,98882377.27
1992-02-19,97791541.59
1992-02-20,99022016.59
1992-02-21,99107522.16
1992-02-24,98789447.08
1992-02-25,98629816.53
1992-02-26,99359650.1
1992-02-27,99512218.33
1992-02-28,99531475.85
1992-03-02,98974329.13
1992-03-03,98983623.58
1992-03-04,98862738.28
1992-03-05,97922876.44
1992-03-06,97489059.28
1992-03-09,97042583.99
1992-03-10,97882255.01
1992-03-11,97368366.48
1992-03-12,96819143.37
1992-03-13,97288826.98
1992-03-16,97219325.34
1992-03-17,98012189.1
1992-03-18,98278378.74
1992-03-19,98211586.57
1992-03-20,98385295.74
1992-03-23,98382802.17
1992-03-24,98416347.03
1992-03-25,98043953.55
1992-03-26,97939861.45
1992-03-27,97563703.03
1992-03-30,96713174.43
1992-03-31,96930343.33
1992-04-01,96759295.24
1992-04-02,96791205.07
1992-04-03,96065981.21
1992-04-06,97102747.04
1992-04-07,97063645.45
1992-04-08,95228357.93
1992-04-09,95945258.97
1992-04-10,96918238.19
1992-04-13,97147190.28
1992-04-14,99004086.68
1992-04-15,99582317.83
1992-04-16,99579786.62
1992-04-20,99526246.64
1992-04-21,98342631.63
1992-04-22,98392365.74
1992-04-23,98462191.22
1992-04-24,98672568.08
1992-04-27,97984781.83
1992-04-28,98006229.33
1992-04-29,98631975.98
1992-04-30,99261526.86
1992-05-01,99323547.94
1992-05-04,99951879.6
1992-05-05,100116553.52
1992-05-06,100104483.98
1992-05-07,99712182.9
1992-05-08,99714546.64
1992-05-11,100168116.21
1992-05-12,100151718.63
1992-05-13,99759591.36
1992-05-14,99636037.19
1992-05-15,98829776.89
1992-05-18,98877506.88
1992-05-19,99634837.66
1992-05-20,99710901.26
1992-05-21,99371896.84
1992-05-22,99231230.3
1992-05-26,99038844.03
1992-05-27,98718983.64
1992-05-28,99696357.57
1992-05-29,100076043.39
1992-06-01,99821725.66
1992-06-02,99822613.93
1992-06-03,99640318.47
1992-06-04,99264512.62
1992-06-05,98993803.14
1992-06-08,99015893.7
1992-06-09,98922661.69
1992-06-10,98096270.64
1992-06-10,95738353.48
1992-06-11,95487050.72
1992-06-12,96137532.98
1992-06-15,96095394.97
1992-06-16,96025708.17
1992-06-17,95317686.58
1992-06-18,94005733.08
1992-06-19,94366180.55
1992-06-22,94227470.97
1992-06-23,94637984.13
1992-06-24,94487333.55
1992-06-25,94664517.87
1992-06-26,94193151.0
1992-06-29,95464694.62
1992-06-30,95616855.01
1992-07-01,96376412.74
1992-07-02,97035471.92
1992-07-06,96600938.18
1992-07-07,96950718.09
1992-07-08,95776203.32
1992-07-09,96802851.13
1992-07-10,97079361.98
1992-07-13,97072464.25
1992-07-14,97497718.91
1992-07-15,97524832.02
1992-07-16,97550980.35
1992-07-17,97460416.1
1992-07-20,97012650.29
1992-07-21,96849285.76
1992-07-22,96574973.12
1992-07-23,96189188.3
1992-07-24,96183414.68
1992-07-27,96322343.51
1992-07-28,97461944.27
1992-07-29,98735661.38
1992-07-30,98949719.19
1992-07-31,99149453.1
1992-08-03,99216752.33
1992-08-04,99228540.58
1992-08-05,99043827.13
1992-08-06,98579666.39
1992-08-07,98833770.59
1992-08-10,97895141.12
1992-08-11,97964856.34
1992-08-12,97971325.04
1992-08-13,97997745.87
1992-08-14,98118883.35
1992-08-17,98465531.28
1992-08-18,98351323.5
1992-08-19,98403381.19
1992-08-20,97757900.4
1992-08-21,98108188.83
1992-08-24,96816938.1
1992-08-25,96077907.51
1992-08-26,96536866.39
1992-08-27,97052012.34
1992-08-28,96847004.29
1992-08-31,96925747.49
1992-09-01,97106182.34
1992-09-02,97621460.2
1992-09-03,98094019.13
1992-09-04,97700051.99
1992-09-08,97364527.13
1992-09-09,97191703.18
1992-09-10,98143590.29
1992-09-11,98157512.29
1992-09-14,99252189.03
1992-09-15,99241714.39
1992-09-16,98593658.35
1992-09-17,98357644.46
1992-09-18,98707587.82
1992-09-21,98700382.71
1992-09-22,98524661.1
1992-09-23,97529585.5
1992-09-24,97791770.47
1992-09-25,97703886.09
1992-09-28,97235568.9
1992-09-29,97412534.56
1992-09-30,97692222.87
1992-10-01,97713134.28
1992-10-02,97174275.27
1992-10-05,95805026.35
1992-10-06,95360118.17
1992-10-07,95369744.17
1992-10-08,95240903.83
1992-10-09,95175560.29
1992-10-13,95849820.57
1992-10-13,94427331.48
1992-10-14,94628252.87
1992-10-15,94514716.26
1992-10-16,94675495.52
1992-10-19,95418603.67
1992-10-20,96102836.49
1992-10-21,95683454.32
1992-10-22,95834381.21
1992-10-23,95701037.75
1992-10-26,96146848.32
1992-10-27,96382879.39
1992-10-28,96595712.02
1992-10-29,96831395.02
1992-10-30,96824722.51
1992-11-02,97197051.89
1992-11-03,97210851.51
1992-11-04,96812365.74
1992-11-05,96199227.8
1992-11-06,96187433.97
1992-11-09,96591753.21
1992-11-10,96492978.88
1992-11-12,97271706.95
1992-11-13,97227213.12
1992-11-16,97119078.75
1992-11-17,96780044.89
1992-11-18,97359281.83
1992-11-19,97386709.29
1992-11-20,98159502.39
1992-11-23,98083479.04
1992-11-24,98694520.06
1992-11-25,98717399.81
