purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
2015-06-10,2015-08-21,2108.5,2034.07996,984435.0,3030299742.58,0.71694,8.22504,705780.83,70578082.89,738417861.52
2015-08-21,2015-12-10,2034.07996,2067.6499,134144.0,2994463593.01,6.72502,1.12708,902121.08,90212108.29,-75995127.42
2015-12-10,2016-02-08,2067.6499,1873.25,187125.0,3570127102.38,4.77648,49.67043,893798.82,89379882.0,839184240.56
2016-02-08,2016-05-10,1873.25,2084.87012,145541.0,3843168337.47,7.30315,0.0,1062907.75,106290775.42,-107353683.16
2016-05-10,2016-06-27,2084.87012,2031.44995,2811579.0,5422935397.07,0.40802,6.30588,1147180.46,114718046.36,1657082751.63
2016-06-27,2016-10-11,2031.44995,2161.56006,339521.0,5578509952.95,4.75214,0.04056,1613451.32,161345132.49,-161581486.64
2016-10-11,2017-02-10,2161.56006,2319.22998,985580.0,5805629664.27,1.68954,0.0,1665176.83,166517683.32,-168182860.15
2017-02-10,2017-06-12,2319.22998,2430.37988,467171009.0,5903572990.53,0.00371,5e-05,1733204.44,173320444.34,-172717793.73
2017-06-12,2017-10-10,2430.37988,2555.22998,63803066.0,6020443115.34,0.02762,0.0,1762240.68,176224068.29,-177986308.97
2017-10-10,2018-02-05,2555.22998,2763.38989,223123448.0,13175997033.82,0.00805,0.30444,1796143.76,179614375.64,6611359731.51
2018-02-05,2018-06-11,2763.38989,2790.20996,770314.0,12838552455.62,5.07943,0.06442,3912756.04,391275604.1,-390225997.35
2018-06-11,2018-10-10,2790.20996,2874.02002,4645107.0,12849652519.96,0.82502,0.04811,3832306.18,383230617.71,-364715314.12
2018-10-10,2018-10-23,2874.02002,2753.59009,5437257.0,16209583402.97,0.70542,7.77198,3835549.83,383554983.29,3838434732.76
2018-10-23,2018-12-06,2753.59009,2696.1499,1421878.0,20852888021.06,3.39406,38.30051,4825939.24,482593924.47,4958445392.07
2018-12-06,2019-03-11,2696.1499,2784.0,429809.0,20828043732.81,14.44438,6e-05,6208324.52,620832452.34,-627038198.01
