Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1974-10-22,8347.85,106.0,75.09,7959.54,388.31,1285.0,0.2637401732910791
1974-10-23,8282.05,106.0,72.81,7717.86,564.19,1285.0,0.4006110678934034
1974-10-24,8258.1,106.0,70.98,7523.88,734.22,1285.0,0.532931823242123
1974-10-25,8243.8,106.0,71.59,7588.54,655.26,1285.0,0.47148544902530176
1974-10-28,8136.68,106.0,70.67,7491.02,645.66,1285.0,0.46401762741287644
1974-10-29,8249.8,106.0,73.19,7758.14,491.66,1285.0,0.3441724333134042
1974-10-30,8328.92,106.0,75.45,7997.7,331.22,1285.0,0.21931219708988792
1974-10-31,8316.57,106.0,75.9,8045.4,271.17,1285.0,0.17258404389831528
1974-11-01,8243.33,106.0,74.85,7934.1,309.23,1285.0,0.20220367795266192
1974-11-04,8147.22,106.0,73.8,7822.8,324.42,1285.0,0.21402480373608945
1974-11-05,8260.28,106.0,75.36,7988.16,272.12,1285.0,0.1733263173069064
1974-11-06,8400.61,106.0,77.41,8205.46,195.15,1285.0,0.11342099919490822
1974-11-07,8286.04,106.0,76.3,8087.8,198.24,1285.0,0.11582943882616115
1974-11-08,8241.15,106.0,76.0,8056.0,185.15,1285.0,0.10563919714981518
1974-11-11,8202.78,106.0,75.7,8024.2,178.58,1285.0,0.10052889596564762
1974-11-11,8132.78,104.0,75.7,7872.8,259.98,313.0,0.7387837826631429
1974-11-12,8131.57,104.0,75.59,7861.36,270.21,313.0,0.771481684430972
1974-11-13,8033.54,104.0,74.25,7722.0,311.54,313.0,0.9035148735275929
1974-11-14,8020.32,104.0,74.54,7752.16,268.16,313.0,0.7649202333254967
1974-11-15,7938.6,104.0,73.27,7620.08,318.52,313.0,0.9258292451943841
1974-11-18,7841.79,104.0,71.1,7394.4,447.39,313.0,1.3375244039396073
1974-11-19,7760.31,104.0,69.71,7249.84,510.47,313.0,1.5390884342007727
